,State Cleanup Site #,Name,Address,City,ZIP,County,Status,Media Name,Contaminant,Chemical,SNO
0,0000000,US Steel  North Sheet Mill,1 N Broadway,Gary,46402,Lake,Inactive,Soil,Petroleum,Stoddard Solvent,265
5,000000009,Meridian Road Landfill,9874 N Meridian Rd,Fortville,46040,Hancock,Active,Groundwater,Lead,Lead,192
11,000000010,Connersville City Landfill,Southeastern Rd,Connersville,47331,Fayette,Inactive,Groundwater,Lead,Lead,109
55,000000066,Avanti Development,502-66 S Harris Ave,Indianapolis,46221,Marion,NFA,Soil,Lead,Lead,81
68,000000081,AM General/Chippewa Avenue Wellfield,711 W Chippewa Ave,SOUTH BEND,46614,St Joseph,Active,Groundwater,Petroleum,Benzene,58
71,000000090,ARCO South Bend Terminal,Ireland Road,SOUTH BEND,46614,St Joseph,Delisted,Groundwater,Lead,Lead,58
72,000000090,ARCO South Bend Terminal,Ireland Road,SOUTH BEND,46614,St Joseph,Delisted,Groundwater,Petroleum,Petroleum Products,58
73,000000090,ARCO South Bend Terminal,Ireland Road,SOUTH BEND,46614,St Joseph,Delisted,Soil,Petroleum,Petroleum Products,58
101,000000111,Crescent Cleaners,666-668 Lincoln Avenue,EVANSVILLE,47713,Vanderburgh,REF,Soil,Petroleum,Petroleum,204
138,000000192,Scottsdale Mall,1390 Scottsdale Mall Road,SOUTH BEND,46614,St Joseph,NFA,Soil,Petroleum,Benzene,58
161,000000246,Nicholson File,3400 E. Lynn St.,ANDERSON,46013,Madison,Active,Soil,Petroleum,Petroleum,150
205,000000341,Wesner Dump,CR 800 East,Odon,47562,Daviess,NFA,Soil,Lead,Lead,308
223,000000369,Dyer Gun Range,518 Edmond Drive,Dyer,46311,Lake,NFA,Soil,Lead,Lead,116
229,000000377,Simmons Residential Lead Investigation,14966 Rosebud Drive,Noblesville,46060,Hamilton,NFA,Soil,Lead,Lead,21
272,0000371,U.S. Abrasives,2900 Center Street,Tippecanoe,46570,Marshall,NFA,Groundwater,Lead,Lead,583
415,0000606,Logansport Municipal Utilities,800 Race Street,Logansport,46947,Cass,Active,Surface water,Petroleum,2-Methylnaphthalene,71
455,0000671,Spitznogle,320 N Patterson St,Lebanon,46052,Boone,Active,Groundwater,Petroleum,Petroleum Products,110
505,0000742,former Shell E. Chicago terminals,"2900 Michigan St.,",Hammond,46323,Lake,Active,Groundwater,Petroleum,Benzene,111
614,0000904,Unified Capital Investment Corporation,1721 East 52nd Street,Indianapolis,46205,Marion,Active,Soil,Lead,Lead,72
728,0001046,Williamson Polishing/Progressive Plating Co Inc,2080 Doctor Andrew J. Brown Avenue,Indianapolis,46202,Marion,Active,Soil,Lead,Lead,124
805,0001153,Sweetser Elementary School,614 North Main Street,Sweetser,46952,Grant,NFA,Soil,Petroleum,Petroleum,133
884,199101040,Federal Mogul Orland,Maple St. & SR 327,Orland,46776,Steuben,NFA,Groundwater,Lead,Lead,536
890,199104143,Buckeye Pipe Line Company,123 Pipeline Drive,GRIFFITH,46319,Lake,Inactive,Groundwater,Petroleum,Benzene,141
911,199310058,Former Mobil Station,810 N Washington St,Kokomo,46901,Howard,NFA,Groundwater,Petroleum,Diesel Gas Kerosene,22
931,199503058,Reece Oil Co Inc,1010 S 13th St,TERRE HAUTE,47807,Vigo,NFA,Soil,Petroleum,Petroleum,183
954,199607052,Biddle Precision Concepts,Adj N Lot Of 701 S Main,Sheridan,46069,Hamilton,NFA,Soil,Petroleum,"Solvent naphtha, petroleum, heavy aliph.",249
961,199612015,Sears #1680,10202 E. Washington St.,Indianapolis,46205,Marion,NFA,Soil,Petroleum,Petroleum Products,72
983,199705144,Old Evansville City Dump,SR 62 & Pigeon Ck,EVANSVILLE,47708,Vanderburgh,Delisted,Soil,Lead,Lead,687
986,199706218,Herdrich Petroleum,276 N 150 W  Or St Rd 52 & 150,RUSHVILLE,46173,Rush,REF,Groundwater,Petroleum,Benzene,210
988,199707015,Indiana National Guard,2391 W Sr 2,Laporte,46350,La Porte,NFA,Soil,Petroleum,Petroleum Products,13
992,199710150,Chemrex Inc.,E Of Boiler Room,FORT WAYNE,46809,Allen,NFA,Soil,Petroleum,Petroleum Products,235
994,199711027,Hott,Co Rd 600 N & Lee Rd,Markle,46770,Huntington,NFA,Soil,Petroleum,Benzene,400
997,199712004,U.S. Postal Service,Main St & Sr 10,Wheatfield,46392,Jasper,NFA,Soil,Petroleum,Diesel Gas Kerosene,243
1000,199712037,Weinland,9283 Wreeves Dr,COLUMBUS,46201,Bartholomew,Inactive,Soil,Petroleum,Petroleum Products,62
1007,199801159,Federal Deposit Ins Corp,7300 W. Crawfordsville rd.,Indianapolis,46234,Marion,NFA,Soil,Petroleum,Petroleum Products,74
1019,199806112,Westlane Shopping Center,7134 N Michigan Road,Indianapolis,46220,Marion,NFA,Soil,Petroleum,Petroleum Products,33
1026,199807123,Finex Inc.,2409 E Washington St,Indianapolis,46201,Marion,NFA,Soil,Petroleum,Petroleum Products,62
1027,199807157,Norrick Petroleum,3919 E Mcgalliard,Muncie,47303,Delaware,NFA,Soil,Petroleum,Kerosene,89
1028,199807168,Westlake Elementary School,271 N. Sigsbee,Indianapolis,46241,Marion,NFA,Soil,Petroleum,Petroleum Products,56
1031,199808091,Schereville Police Dept.,1640 Wilson St.,SCHERERVILLE,46375,Lake,NFA,Soil,Petroleum,Organics,98
1033,199808135,INDOT(US 20 & CR 100),Ushwy20 And Cr100e,ANGOLA,46703,Steuben,Delisted,Soil,Petroleum,Diesel Gas Kerosene,136
1036,199809097,Tippecanoe Hwy Dept.,Cr600e And Cr1000n,Linden,47994,Montgomery,NFA,Soil,Petroleum,Organics,692
1040,199809513,INDOT Valparaiso subdistrict,4301 E. US 30,Valparaiso,46383,Porter,REF,Groundwater,Lead,Lead,18
1042,199809513,INDOT Valparaiso subdistrict,4301 E. US 30,Valparaiso,46383,Porter,REF,Groundwater,Petroleum,Benzene,18
1043,199809513,INDOT Valparaiso subdistrict,4301 E. US 30,Valparaiso,46383,Porter,REF,Groundwater,Petroleum,Ethyl benzene,18
1044,199809513,INDOT Valparaiso subdistrict,4301 E. US 30,Valparaiso,46383,Porter,REF,Groundwater,Petroleum,Naphthalene,18
1045,199809513,INDOT Valparaiso subdistrict,4301 E. US 30,Valparaiso,46383,Porter,REF,Groundwater,Petroleum,Toluene,18
