County,Chemical,Total Transfers,Total Releases
ADAMS,Certain glycol ethers,0.0,11862.0
ADAMS,Chromium,0.0,4.41
ADAMS,Copper,250.0,273.1
ADAMS,Diisocyanates,0.0,0.0
ADAMS,Ethylene glycol,0.0,0.0
ADAMS,Lead,0.0,147.79
ADAMS,Manganese,0.0,2.78
ADAMS,Nickel,0.0,4766.25
ADAMS,Styrene,0.0,105918.0
ADAMS,Toluene,0.0,20499.0
ADAMS,n-Hexane,0.0,306186.4
ALLEN,"1,2,4-Trimethylbenzene",0.0,395711.0
ALLEN,Certain glycol ethers,0.0,10000.0
ALLEN,Chromium,2.132,5074.624
ALLEN,Copper,29.07,8340.07
ALLEN,Diisocyanates,0.0,18592.17
ALLEN,Ethylbenzene,0.0,19198.0
ALLEN,Ethylene glycol,4335.56,349.02500000000003
ALLEN,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,25456.0
ALLEN,Lead,1.61,377.851
ALLEN,Lead  And Lead Compounds,0.6699999999999999,19309.07
ALLEN,Manganese,0.0,740.1600000000001
ALLEN,Manganese compounds,0.0,0.0
ALLEN,Methanol,0.0,12717.0
ALLEN,Naphthalene,0.0,1190.0
ALLEN,Nickel,29.722,9873.362
ALLEN,Nitrate compounds (water dissociable; reportable only when in aqueous solution),140641.69,14064.169000000002
ALLEN,Nitric acid,59273.37,59283.37
ALLEN,Polycyclic aromatic compounds,0.0,1.43
ALLEN,Styrene,0.0,367521.29
ALLEN,Toluene,0.0,15100.0
ALLEN,Xylene (mixed isomers),0.0,93229.0
ALLEN,Zinc compounds,1004.56,63525.26
ALLEN,n-Hexane,0.0,1327.0
BARTHOLOMEW,Chromium,0.10099999999999999,10718.079
BARTHOLOMEW,Copper,15.161,42729.632
BARTHOLOMEW,Ethylene glycol,0.0,0.0
BARTHOLOMEW,Lead,24.529,44.308
BARTHOLOMEW,Lead  And Lead Compounds,0.0,17720.5
BARTHOLOMEW,Manganese,6.646,1533.663
BARTHOLOMEW,Manganese compounds,0.0,0.16
BARTHOLOMEW,Nickel,22.511000000000003,1355.886
BARTHOLOMEW,Nitrate compounds (water dissociable; reportable only when in aqueous solution),130856.87,13085.687
BARTHOLOMEW,Nitric acid,40.0,790.0
BARTHOLOMEW,Zinc compounds,203.14,184530.03
BLACKFORD,Ammonia,74.34,260.74
BLACKFORD,Ethylbenzene,0.0,196.0
BLACKFORD,Toluene,0.0,10382.0
BLACKFORD,Xylene (mixed isomers),0.0,930.0
BLACKFORD,Zinc compounds,0.0,3645.428
BOONE,Chromium,0.0,0.0
BOONE,Copper,21.51,21.51
BOONE,Lead,0.0,0.219
BOONE,Manganese,0.0,13.0
BOONE,Methanol,0.0,75400.0
BOONE,Nickel,0.0,0.0
BOONE,Nitric acid,0.0,0.0
CARROLL,Ammonia,0.0,4124.0
CARROLL,Certain glycol ethers,0.0,0.0
CASS,Ammonia,63203.0,53820.0
CASS,Chromium,15.2,688.2
CASS,Copper,0.0,259.28
CASS,Ethylbenzene,0.0,119.0
CASS,Ethylene glycol,0.0,0.0
CASS,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,24951.12
CASS,Lead,0.0,19.97
CASS,Lead compounds,0.0,33893.968
CASS,Manganese compounds,0.0,5269119.8
CASS,Methanol,0.0,1608.0
CASS,Naphthalene,0.0,31.0
CASS,Nitrate compounds (water dissociable; reportable only when in aqueous solution),91521.0,49866.0
CASS,Nitric acid,0.0,5.0
CASS,Polycyclic aromatic compounds,0.0,0.0
CASS,Styrene,0.0,57.0
CASS,Toluene,0.0,471.0
