,1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
14,2023,4621WLNXST292TB,110071731485.0,LENEX STEEL CO,2902 TOBEY DR,INDIANAPOLIS,MARION,IN,46219,,,39.809549,-86.019236,NAD83,,,,,,,NO,332,Fabricated Metals,,,,,,,332312,,,,,,1323222296206,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.05,0.0,0.0,0.0,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,49.05,0.0,0.0,49.15,,PRODUCTION,1.0
40,2023,4724WHNDMN2755N,110037389260.0,HONDA DEVELOPLEMENT & MANUFACTURING LLC - IAP,2755 N. MICHIGAN AVE.,GREENSBURG,DECATUR,IN,47240,,,39.36738,-85.542151,NAD83,AMERICAN HONDA MOTOR CO INC,8860389.0,AMERICAN HONDA MOTOR CO INC,,,HONDA MOTOR CO LTD,NO,336,Transportation Equipment,,,,,,,336110,,,,,,1323221884909,Cumene,NO,0000098828,98-82-8,18309.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,1200.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,23123.0,0.0,0.0,0.0,0.0,23123.0,74.0,4211.0,4285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27410.0,1374.0,0.0,0.0,1372.0,0.0,2.0,0.0,4285.0,0.0,23123.0,5669.0,0.0,34451.0,,PRODUCTION,1.0
126,2023,46975RCHST616IN,110000401672.0,ROCHESTER METAL PRODUCTS CORP,616 INDIANA AVE,ROCHESTER,FULTON,IN,46975,,,41.06933,-86.2102,NAD83,,,,,,,NO,331,Primary Metals,,,,,,,331511,,,,,,1323221744699,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.0,8.49,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,70.27,0.0,0.0,9.27,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,70.27,,PRODUCTION,1.0
128,2023,47250MDSNCSTRD6,110000402332.0,MADISON CHEMICAL CO INC,3141 CLIFTY DR,MADISON,JEFFERSON,IN,47250,,,38.7507,-85.44991,NAD83,,,,,,,NO,325,Chemicals,,,,,,,325611,,,,,,1323221685579,Nitric acid,NO,0007697372,7697-37-2,152686.0,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
160,2023,46323HRBSN5501K,110000493699.0,RESCO PRODUCTS INC,5501 KENNEDY AVE,HAMMOND,LAKE,IN,46323,,,41.6125,-87.4625,NAD83,RESCO PRODUCTS INC,2324655.0,RESCO PRODUCTS INC,,,,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1323221592506,Phenol,NO,0000108952,108-95-2,25510.0,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2774.0,0.0,0.0,0.0,2777.0,,ACTIVITY,1.12
258,2023,4655WLFKNR52SAK,110071732231.0,LUFKIN RODS,502 S OAKLAND AVE,NAPPANEE,ELKHART,IN,46550,,,41.43846,-85.984012,NAD83,,,,,,,NO,333,Machinery,,,,,,,333132,,,,,,1323222296915,Lead,NO,0007439921,7439-92-1,149583.0,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.14,,PRODUCTION,1.0
295,2023,4655WSMRTL768CR,110059696949.0,SMART LLC,70680 CR 23,NEW PARIS,ELKHART,IN,46553,,,41.468676,-85.835576,NAD83,,,,,,,NO,337,Furniture,,,,,,,337110,,,,,,1323221540356,Certain glycol ethers,NO,N230,N230,649541.0,YES,TRI,NO,May contain metal,NO,NO,NO,R,Pounds,305.0,5786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6091.0,11.12,127.88,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0,0.0,0.0,0.0,0.0,0.0,377.0,944.0,1321.0,0.0,0.0,0.0,0.0,0.0,0.0,127.88,0.0,1460.0,6102.12,0.0,0.0,6091.0,0.0,11.12,0.0,1321.0,0.0,0.0,0.0,127.88,7551.0,,PRODUCTION,0.9
299,2023,4690WKKMNG336NU,110058427885.0,KOKOMO ENGINE PLANT,3360 US HIGHWAY 31 N,KOKOMO,HOWARD,IN,46901,,,40.52686,-86.12407,NAD83,FCA US LLC,830966904.0,FCA US LLC,STELLANTIS N.V.,,,NO,336,Transportation Equipment,,,,,,,336310,,,,,,1323222307910,Nickel,NO,0007440020,7440-02-0,149674.0,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,16.18,2068.0,0.0,6903.0,8987.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9027.18,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,8987.18,0.0,0.0,9027.18,,PRODUCTION,3.92
349,2023,46222CRYST3970W,110000493644.0,HERITAGE-CRYSTAL CLEAN LLC - RE-REFINERY,3970 W 10TH ST,INDIANAPOLIS,MARION,IN,46222,,,39.781162,-86.225313,NAD83,,,,,,,NO,324,Petroleum,,,,,,,324191,562112.0,423830.0,,,,1323222335717,Ethylbenzene,NO,0000100414,100-41-4,19406.0,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2781.0,0.0,2781.0,0.0,0.0,0.0,0.0,0.0,52432.0,52432.0,0.0,55213.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,2781.0,0.0,0.0,0.0,52432.0,55223.0,,PRODUCTION,1.47
370,2023,46041PRNMLSTATE,110000396250.0,PURINA ANIMAL NUTRITION LLC - FRANKFORT,2472 W STATE RD 28,FRANKFORT,CLINTON,IN,46041,,,40.280303,-86.551344,NAD83,LAND O LAKES INC,6253835.0,LAND O LAKES INC,,,,NO,311,Food,,,,,,,311119,,,,,,1323221832393,Zinc compounds,NO,N982,N982,649699.0,NO,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
