st,year,on_site_air,on_site_water,on_site_land,on_site_disp_or_other_rel,off_site_disp_or_other_rel,on_off_site_disp_or_other_rel,data_set,data_source,chem_name,tri_naics_code,naics_description,number_of_chemicals,facility_count,total_on_site_release,total_off_site_release,total_releases
IN,2005,220818523.16498393,82663189.26568201,101473980.12401332,404955692.5546792,400834876.2374577,805790568.7921369,INFO,onsite_offsite_disposal,,,,,,,,
IN,2006,219933714.80203873,90165455.16350307,101363918.6394504,411463088.60499215,389203143.2456752,800666231.8506674,INFO,onsite_offsite_disposal,,,,,,,,
IN,2007,192786682.9049631,81851994.89395739,104954844.86317076,379593522.66209126,412594915.9148108,792188438.576902,INFO,onsite_offsite_disposal,,,,,,,,
IN,2008,165675265.6102686,61878247.92647442,109384038.1128321,336937551.6495751,354978194.0311717,691915745.6807469,INFO,onsite_offsite_disposal,,,,,,,,
IN,2009,136758347.34574252,44971146.82792508,93709436.13474163,275438930.3084092,142254111.51811647,417693041.8265257,INFO,onsite_offsite_disposal,,,,,,,,
IN,2010,142314755.26338804,103503120.11680505,100258604.96354955,346076480.34374267,145718685.46879372,491795165.8125364,INFO,onsite_offsite_disposal,,,,,,,,
IN,2011,132444333.44447295,85073000.90354833,93866703.31682906,311384037.6648504,157209016.84583065,468593054.510681,INFO,onsite_offsite_disposal,,,,,,,,
IN,2012,116395995.88062496,75581094.0291,94061211.08468296,286038300.9944079,159327921.7545239,445366222.7489318,INFO,onsite_offsite_disposal,,,,,,,,
IN,2013,133968948.77050532,65741402.64396,110418126.28489885,310128477.6993641,155452012.67095113,465580490.37031525,INFO,onsite_offsite_disposal,,,,,,,,
IN,2014,132429578.57575528,67360674.30936,117898371.70867302,317688624.5937883,163098279.46826732,480786904.0620556,INFO,onsite_offsite_disposal,,,,,,,,
IN,2015,106282642.50539961,52154915.5095,105423602.34471872,263861160.35961837,155853540.42731372,419714700.78693205,INFO,onsite_offsite_disposal,,,,,,,,
