County FIPS,County,ZIP Code,Percent of ZIP Code in this County,Percent of County in this ZIP Code 
001,Adams,46711,100.0,17.6
001,Adams,46714,4.9,1.9
001,Adams,46733,98.2,50.7
001,Adams,46740,97.1,18.3
001,Adams,46772,100.0,10.4
001,Adams,46773,3.6,0.8
001,Adams,46777,1.6,0.3
003,Allen,46706,3.5,0.5
003,Allen,46723,36.6,3.2
003,Allen,46733,1.8,0.5
003,Allen,46741,100.0,4.1
003,Allen,46743,100.0,3.7
003,Allen,46745,100.0,2.7
003,Allen,46748,90.4,2.5
003,Allen,46765,100.0,2.0
003,Allen,46773,96.4,10.9
003,Allen,46774,100.0,8.7
003,Allen,46777,5.5,0.5
003,Allen,46783,33.2,2.9
003,Allen,46788,43.3,2.4
003,Allen,46797,100.0,7.5
003,Allen,46798,97.0,3.0
003,Allen,46802,100.0,0.6
003,Allen,46803,100.0,1.1
003,Allen,46804,100.0,3.1
003,Allen,46805,100.0,1.0
003,Allen,46806,100.0,1.4
003,Allen,46807,100.0,0.5
003,Allen,46808,100.0,1.5
003,Allen,46809,100.0,3.6
003,Allen,46814,100.0,2.4
003,Allen,46815,100.0,1.4
003,Allen,46816,100.0,5.5
003,Allen,46818,97.8,9.9
003,Allen,46819,100.0,3.9
003,Allen,46825,100.0,2.3
003,Allen,46835,100.0,3.0
003,Allen,46845,100.0,3.6
005,Bartholomew,46124,28.1,4.6
005,Bartholomew,47201,88.8,48.8
005,Bartholomew,47203,100.0,19.8
005,Bartholomew,47232,74.7,5.5
005,Bartholomew,47234,1.6,0.1
005,Bartholomew,47236,100.0,0.2
005,Bartholomew,47244,79.9,3.5
005,Bartholomew,47246,95.8,13.7
005,Bartholomew,47274,5.3,2.8
005,Bartholomew,47283,3.5,0.6
005,Bartholomew,47448,1.2,0.6
007,Benton,47917,42.0,4.4
007,Benton,47921,51.8,4.6
007,Benton,47942,97.0,14.4
007,Benton,47944,98.9,46.6
007,Benton,47948,14.9,2.2
007,Benton,47970,45.4,7.6
007,Benton,47971,100.0,11.5
007,Benton,47975,3.8,0.4
007,Benton,47977,39.7,8.3
009,Blackford,46952,1.7,1.1
009,Blackford,46989,1.7,0.4
009,Blackford,47336,19.0,5.3
