,MASTER_AI_ID,FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,REGULATORY_PROGRAM,CLOSURE_TYPE,CONTROL_TYPE,IC_ID,INSTRUMENT_ID,DATE_IC_RECORDED,CONTROL_METHOD,AFFECTED_MEDIA,CONSTITUENTS_OF_CONCERN,RESTRICTION_COVERAGE,IC_VFC_ID,FULL_ADDRESS,ZIP_CODE
0,150,4120207,Clark Store 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,03/10/2016,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,80264241,"312 N Walnut, HARTFORD CITY",47348
1,150,4120207,Clark Store 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,03/10/2016,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,80264241,"312 N Walnut, HARTFORD CITY",47348
2,150,4120207,Clark Store 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,03/10/2016,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,80264226,"312 N Walnut, HARTFORD CITY",47348
3,150,4120207,Clark Store 686,312 N Walnut,HARTFORD CITY,BLACKFORD,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,03/10/2016,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,80264226,"312 N Walnut, HARTFORD CITY",47348
4,4309,02-10,M&M Landfill,129 Rose Ave,NEW HAVEN,ALLEN,SW Land Disposal,SWL Closure,Deed Notice,1329,,05/12/2015,Soil or Vegetative Cap,Solid Waste,,Entire Property,80057585,"129 Rose Ave, NEW HAVEN",46741
5,4310,15-02,Greendal Landfill,Georgetown Rd & Mitchell Rd,LAWRENCEBURG,DEARBORN,SW Processing Faclty,SWL Closure,Deed Notice,508,508,01/12/2012,"Landfill Gas System,  Leachate Collection System,  Soil or Vegetative Cap",Solid Waste,,Entire Property,65342162,"Georgetown Rd & Mitchell Rd, LAWRENCEBURG",47022
6,4344,03-03,Bartholomew County Landfill,11110 E SR 46,COLUMBUS,BARTHOLOMEW,SW Land Disposal,SWL Closure,Deed Notice,153,153,12/17/1999,"Leachate Collection System,  Liner System,  Soil or Vegetative Cap",Solid Waste,,Portion of Property,56761798,"11110 E SR 46, COLUMBUS",47203
7,4719,07-01,Brown County Landfill,RAILROAD RD & SR 135,MORGANTOWN,BROWN,SW Land Disposal,SWL Closure,Deed Notice,148,148,06/20/1994,Soil or Vegetative Cap,Solid Waste,,Portion of Property,56762443; 56762444,"RAILROAD RD & SR 135, MORGANTOWN",47448
8,5974,06-02,Lebanon Landfill,US HWY 52 & CR 450,LEBANON,BOONE,SW Land Disposal,SWL Closure,Deed Notice,1377,,09/29/2015,"Soil or Vegetative Cap, Agricultural or Food Crop, Excavation Notice Required, Residential Use Restriction, Restricted Excavation Area",Solid Waste,,Entire Property,80166204,"US HWY 52 & CR 450, LEBANON",46052
9,32,2899,Clark Oil 708,134 N 4th St,DECATUR,ADAMS,UST,LUS No Further Action 2/28/2010,Environmental Restrictive Covenant,845,2009005162,12/09/2009,"Agricultural or Food Crop, Excavation Notice Required, Ground Water Use Restriction, Residential Use Restriction",Ground Water; Subsurface Soil,"Petroleum, TPH - Total Petroleum Hydrocarbons",Entire Property; Portion of Property,53118878,"134 N 4th St, DECATUR",46711
