MASTER_AI_ID,FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,REGULATORY_PROGRAM,CLOSURE_TYPE,CONTROL_TYPE,IC_ID,INSTRUMENT_ID,DATE_IC_RECORDED,CONTROL_METHOD,AFFECTED_MEDIA,CONSTITUENTS_OF_CONCERN,RESTRICTION_COVERAGE,Terminated_Date,IC_VFC_ID,VFC_URL
150,4120207,Clark Store 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,10-Mar-16,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,80264241,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264241
150,4120207,Clark Store 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1143,,10-Mar-16,Ground Water Use Restriction,Ground Water,Petroleum,Entire Property,,80264241,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264241
150,4120207,Clark Store 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,10-Mar-16,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,80264226,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264226
150,4120207,Clark Store 686,312 N Walnut,Hartford City,Blackford County,Brownfields,NFA 2/11/16,Environmental Restrictive Covenant,1144,,10-Mar-16,Ground Water Use Restriction,Ground Water,VOCs - Volatile Organic Compounds,Entire Property,,80264226,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80264226
4309,02-Oct,M&M Landfill,129 Rose Ave,New Haven,Allen,SW Land Disposal,SWL Closure,Deed Notice,1329,,12-May-15,Soil or Vegetative Cap,Solid Waste,,Entire Property,,80057585,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80057585
4310,15-Feb,Greendal Landfill,Georgetown Rd & Mitchell Rd,Lawrenceburg,Dearborn,SW Processing Faclty,SWL Closure,Deed Notice,508,508,12-Jan-12,Landfill Gas System;  Leachate Collection System;  Soil or Vegetative Cap,Solid Waste,,Entire Property,,65342162,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=65342162
4344,03-Mar,Bartholomew County Landfill,11110 E SR 46,Columbus,Bartholomew,SW Land Disposal,SWL Closure,Deed Notice,153,153,17-Dec-99,Leachate Collection System;  Liner System;  Soil or Vegetative Cap,Solid Waste,,Portion of Property,,56761798,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=56761798
4719,07-Jan,Brown County Landfill,RAILROAD RD & SR 135,Morgantown,Brown,SW Land Disposal,SWL Closure,Deed Notice,148,148,20-Jun-94,Soil or Vegetative Cap,Solid Waste,,Portion of Property,,56762443; 56762444,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=56762443; https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=56762444
5974,06-Feb,Lebanon Landfill,US HWY 52 & CR 450,Lebanon,Boone,SW Land Disposal,SWL Closure,Deed Notice,1377,,29-Sep-15,Soil or Vegetative Cap; Agricultural or Food Crop; Excavation Notice Required; Residential Use Restriction; Restricted Excavation Area,Solid Waste,,Entire Property,,80166204,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=80166204
32,2899,Clark Oil 708,134 N 4th St,Decatur,Adams County,UST,LUS No Further Action 2/28/2010,Environmental Restrictive Covenant,845,2009005162,09-Dec-09,Agricultural or Food Crop; Excavation Notice Required; Ground Water Use Restriction; Residential Use Restriction,Ground Water; Subsurface Soil,Petroleum; TPH - Total Petroleum Hydrocarbons,Entire Property; Portion of Property,,53118878,https://ecm.idem.in.gov/cs/idcplg?IdcService=DOC_INFO_BY_NAME&coreContentOnly=1&dDocName=53118878
