County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Adams,Certain glycol ethers,0.0,11862.0,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Chromium,0.0,4.41,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Copper,250.0,273.1,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Diisocyanates,0.0,0.0,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Ethylene glycol,0.0,0.0,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Lead,0.0,147.79,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Manganese,0.0,2.78,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Nickel,0.0,4766.25,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Styrene,0.0,105918.0,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,Toluene,0.0,20499.0,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Adams,n-Hexane,0.0,306186.4,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61,433,7838.2837718
Allen,"1,2,4-Trimethylbenzene",0.0,395711.0,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
Allen,Certain glycol ethers,0.0,10000.0,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
Allen,Chromium,2.132,5074.624,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
Allen,Copper,29.07,8340.07,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
Allen,Diisocyanates,0.0,18592.17,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
Allen,Ethylbenzene,0.0,19198.0,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27,5071,8470.6142087
