County,Chemical,Total Transfers,Total Releases
Adams,Certain glycol ethers,0.0,11862.0
Adams,Chromium,0.0,4.41
Adams,Copper,250.0,273.1
Adams,Diisocyanates,0.0,0.0
Adams,Ethylene glycol,0.0,0.0
Adams,Lead,0.0,147.79
Adams,Manganese,0.0,2.78
Adams,Nickel,0.0,4766.25
Adams,Styrene,0.0,105918.0
Adams,Toluene,0.0,20499.0
Adams,n-Hexane,0.0,306186.4
Allen,"1,2,4-Trimethylbenzene",0.0,395711.0
Allen,Certain glycol ethers,0.0,10000.0
Allen,Chromium,2.132,5074.624
Allen,Copper,29.07,8340.07
Allen,Diisocyanates,0.0,18592.17
Allen,Ethylbenzene,0.0,19198.0
Allen,Ethylene glycol,4335.56,349.02500000000003
Allen,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,25456.0
Allen,Lead,1.61,377.851
Allen,Lead  And Lead Compounds,0.6699999999999999,19309.07
Allen,Manganese,0.0,740.1600000000001
Allen,Manganese compounds,0.0,0.0
Allen,Methanol,0.0,12717.0
Allen,Naphthalene,0.0,1190.0
Allen,Nickel,29.722,9873.362
Allen,Nitrate compounds (water dissociable; reportable only when in aqueous solution),140641.69,14064.169000000002
Allen,Nitric acid,59273.37,59283.37
Allen,Polycyclic aromatic compounds,0.0,1.43
Allen,Styrene,0.0,367521.29
Allen,Toluene,0.0,15100.0
Allen,Xylene (mixed isomers),0.0,93229.0
Allen,Zinc compounds,1004.56,63525.26
Allen,n-Hexane,0.0,1327.0
Bartholomew,Chromium,0.10099999999999999,10718.079
Bartholomew,Copper,15.161,42729.632
Bartholomew,Ethylene glycol,0.0,0.0
Bartholomew,Lead,24.529,44.308
Bartholomew,Lead  And Lead Compounds,0.0,17720.5
Bartholomew,Manganese,6.646,1533.663
Bartholomew,Manganese compounds,0.0,0.16
Bartholomew,Nickel,22.511000000000003,1355.886
Bartholomew,Nitrate compounds (water dissociable; reportable only when in aqueous solution),130856.87,13085.687
Bartholomew,Nitric acid,40.0,790.0
Bartholomew,Zinc compounds,203.14,184530.03
Blackford,Ammonia,74.34,260.74
Blackford,Ethylbenzene,0.0,196.0
Blackford,Toluene,0.0,10382.0
Blackford,Xylene (mixed isomers),0.0,930.0
Blackford,Zinc compounds,0.0,3645.428
Boone,Chromium,0.0,0.0
Boone,Copper,21.51,21.51
Boone,Lead,0.0,0.219
Boone,Manganese,0.0,13.0
Boone,Methanol,0.0,75400.0
Boone,Nickel,0.0,0.0
Boone,Nitric acid,0.0,0.0
Carroll,Ammonia,0.0,4124.0
Carroll,Certain glycol ethers,0.0,0.0
Cass,Ammonia,63203.0,53820.0
Cass,Chromium,15.2,688.2
Cass,Copper,0.0,259.28
Cass,Ethylbenzene,0.0,119.0
Cass,Ethylene glycol,0.0,0.0
Cass,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,24951.12
Cass,Lead,0.0,19.97
Cass,Lead compounds,0.0,33893.968
Cass,Manganese compounds,0.0,5269119.8
Cass,Methanol,0.0,1608.0
Cass,Naphthalene,0.0,31.0
Cass,Nitrate compounds (water dissociable; reportable only when in aqueous solution),91521.0,49866.0
Cass,Nitric acid,0.0,5.0
Cass,Polycyclic aromatic compounds,0.0,0.0
Cass,Styrene,0.0,57.0
Cass,Toluene,0.0,471.0
Cass,Xylene (mixed isomers),0.0,483.0
Cass,Zinc compounds,57.58,3769846.2800000003
Cass,n-Hexane,0.0,6200.0
Clark,"1,2,4-Trimethylbenzene",0.0,1122.0
Clark,Ammonia,0.0,4252.969999999999
