FIPS,State,County,Deaths,Years of Potential Life Lost
18001,Indiana,Adams,433,7838.2837718
18003,Indiana,Allen,5071,8470.6142087
18005,Indiana,Bartholomew,1087,7592.0689464
18007,Indiana,Benton,143,8792.2199365
18009,Indiana,Blackford,234,10189.987329
18011,Indiana,Boone,720,6470.3938404
18013,Indiana,Brown,251,8159.0116264
18015,Indiana,Carroll,239,6177.9242733
18017,Indiana,Cass,602,9430.9055071
18019,Indiana,Clark,2112,10021.918607
18021,Indiana,Clay,428,9141.043165
18023,Indiana,Clinton,483,9035.3350309
18025,Indiana,Crawford,236,11882.552985
18027,Indiana,Daviess,463,7361.2439013
18029,Indiana,Dearborn,732,7817.0874082
18031,Indiana,Decatur,405,8469.5582359
18033,Indiana,DeKalb,646,8333.7855442
18035,Indiana,Delaware,1983,10901.98189
18037,Indiana,Dubois,486,5605.9079521
18039,Indiana,Elkhart,2496,7319.2439193
18041,Indiana,Fayette,498,13348.693574
18043,Indiana,Floyd,1278,9457.516228
18045,Indiana,Fountain,298,9846.7322488
18047,Indiana,Franklin,331,8705.4520886
18049,Indiana,Fulton,389,10646.12078
18051,Indiana,Gibson,483,7814.4471447
18053,Indiana,Grant,1350,12288.535692
18055,Indiana,Greene,563,9043.4185489
18057,Indiana,Hamilton,2333,4211.5632759
18059,Indiana,Hancock,926,6250.0749032
18061,Indiana,Harrison,642,8857.5529049
18063,Indiana,Hendricks,1627,5571.0394304
18065,Indiana,Henry,889,9780.6289824
18067,Indiana,Howard,1598,11097.330868
18069,Indiana,Huntington,538,7515.9909237
18071,Indiana,Jackson,681,9487.4631697
18073,Indiana,Jasper,502,7990.3910736
18075,Indiana,Jay,330,10199.736578
18077,Indiana,Jefferson,567,8926.6937978
18079,Indiana,Jennings,549,11372.449165
18081,Indiana,Johnson,1825,6664.3212818
18083,Indiana,Knox,663,10386.188897
18085,Indiana,Kosciusko,1095,7540.3294268
18087,Indiana,LaGrange,408,6351.5940935
18089,Indiana,Lake,7998,9809.207935
18091,Indiana,LaPorte,1971,9809.3052332
18093,Indiana,Lawrence,788,8614.960658
18095,Indiana,Madison,2324,9852.0590068
18097,Indiana,Marion,14902,10673.137635
18099,Indiana,Marshall,609,7398.2144644
18101,Indiana,Martin,155,9268.1068399
18103,Indiana,Miami,605,8644.8159488
18105,Indiana,Monroe,1358,6485.12879
18107,Indiana,Montgomery,561,7693.5514485
18109,Indiana,Morgan,1152,8333.5903674
18111,Indiana,Newton,252,8980.6911959
18113,Indiana,Noble,697,8342.4320169
18115,Indiana,Ohio,101,6203.8354474
18117,Indiana,Orange,374,10097.36769
18119,Indiana,Owen,398,10014.121568
18121,Indiana,Parke,234,6829.1916515
18123,Indiana,Perry,286,6761.4735406
18125,Indiana,Pike,221,8080.5780684
18127,Indiana,Porter,2274,6926.9294465
18129,Indiana,Posey,365,6819.8593971
18131,Indiana,Pulaski,234,11408.327417
18133,Indiana,Putnam,509,7407.029338
18135,Indiana,Randolph,432,10300.909703
18137,Indiana,Ripley,442,8368.5689369
18139,Indiana,Rush,273,7987.1714507
18141,Indiana,St. Joseph,3985,8577.6164595
18143,Indiana,Scott,561,13044.917671
18145,Indiana,Shelby,698,9153.9480996
18147,Indiana,Spencer,310,8069.812214
18149,Indiana,Starke,477,11119.924485
18151,Indiana,Steuben,465,6819.0006944
18153,Indiana,Sullivan,364,9197.4926906
18155,Indiana,Switzerland,168,11523.491328
18157,Indiana,Tippecanoe,1738,6366.9408638
18159,Indiana,Tipton,232,8137.7268717
18161,Indiana,Union,124,9367.2000428
18163,Indiana,Vanderburgh,3049,9536.4699008
18165,Indiana,Vermillion,292,9632.4648661
18167,Indiana,Vigo,1778,9217.7073029
18169,Indiana,Wabash,515,8780.9317899
18171,Indiana,Warren,112,6866.0464085
18173,Indiana,Warrick,860,6924.9335196
18175,Indiana,Washington,504,10140.140937
18177,Indiana,Wayne,1349,12520.342239
18179,Indiana,Wells,373,7950.7651412
18181,Indiana,White,412,9382.6750296
18183,Indiana,Whitley,457,6597.6799556
