FIPS,State,County,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank
18001,Indiana,Adams,-0.250244787,30,0.12236288,56,0.1729897398,80,0.1081939972,78,-0.124785662,29,0.0129162849,61
18003,Indiana,Allen,-0.07114195,43,0.0565743101,51,-0.047765764,29,-0.054191006,29,0.045506807,57,-0.021171343,27
18005,Indiana,Bartholomew,-0.319983283,26,-0.325406808,15,-0.282504727,6,-0.108906117,16,-0.193395381,19,-0.098715428,1
18007,Indiana,Benton,0.0199504524,49,0.0619411299,52,0.0380827418,49,0.0479384405,62,-0.047314204,40,-0.010026451,44
18009,Indiana,Blackford,0.4158575465,76,0.5330950069,86,0.3291197364,91,-0.016181255,41,0.1906498685,71,-0.019404384,30
18011,Indiana,Boone,-0.637689315,9,-0.961410378,2,-0.535272693,2,-0.296286771,2,-0.530059569,2,0.0590479407,87
18013,Indiana,Brown,-0.159401036,37,-0.390207873,11,-0.254236285,8,-0.026886039,38,-0.034781016,46,0.0201263951,69
18015,Indiana,Carroll,-0.720529119,4,-0.307447813,16,0.0431032976,51,0.0012328348,46,-0.143551091,24,0.0043571203,54
18017,Indiana,Cass,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23
18019,Indiana,Clark,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4
18021,Indiana,Clay,0.1187520066,55,-0.006982547,46,0.0405321255,50,0.0973122631,77,-0.006998854,50,-0.015658075,35
18023,Indiana,Clinton,0.0888109732,53,0.0667448073,53,0.0929974319,61,0.040365003,58,-0.045790801,42,0.0416194663,82
18025,Indiana,Crawford,0.89526403,88,1.0405111506,92,0.272320241,90,0.0945969938,76,0.4052979919,85,0.0103436845,60
18027,Indiana,Daviess,-0.38536274,21,-0.027422057,45,0.1842488406,82,0.2007110563,91,0.028008625,53,-0.043634104,9
18029,Indiana,Dearborn,-0.256248497,29,-0.371944918,13,-0.16551512,13,-0.0085333,44,-0.145308523,23,0.0301892476,74
18031,Indiana,Decatur,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64
18033,Indiana,DeKalb,-0.109897639,39,-0.280746058,19,-0.023091497,40,-0.038387202,34,-0.226334597,15,-0.03306081,16
18035,Indiana,Delaware,0.6175246473,82,0.4689866074,83,0.0744205527,60,-0.031670451,37,0.1931470191,72,-0.014211896,36
18037,Indiana,Dubois,-0.882548436,3,-0.148293976,32,-0.113251457,21,-0.130593735,12,-0.344504712,6,-0.030045435,18
18039,Indiana,Elkhart,-0.397258919,20,-0.104035943,38,-0.041820722,32,0.0937361913,74,-0.023209049,48,-0.060521707,5
18041,Indiana,Fayette,1.3105373174,92,0.4898603257,85,0.2406701209,86,0.0857166299,71,0.54317497,91,0.020553113,70
18043,Indiana,Floyd,0.2083906199,63,-0.086136625,40,-0.206446804,9,-0.143897292,8,-0.13853978,25,0.0180870687,65
18045,Indiana,Fountain,0.3186331284,70,0.0075289002,47,0.0639231568,56,0.1364125045,82,-0.037407807,45,0.0435113224,83
18047,Indiana,Franklin,-0.004625887,47,-0.234920012,24,-0.142169677,17,-0.037827502,35,-0.107938647,32,0.0038203199,52
18049,Indiana,Fulton,0.5450539136,80,0.3790340623,80,0.101692743,64,0.0237601439,56,0.0347932732,55,-0.036500516,14
18051,Indiana,Gibson,-0.256996332,28,-0.119991701,36,-0.042220708,31,-0.13476851,11,-0.166532314,22,-0.01733803,34
18053,Indiana,Grant,1.0102555764,89,0.687431517,88,0.1388749076,74,-0.008424222,45,0.316771023,80,0.0151848605,62
18055,Indiana,Greene,0.0911005688,54,0.3345798906,78,0.1053879716,67,0.0776274611,69,0.1153873087,66,-0.012462088,38
18057,Indiana,Hamilton,-1.277486072,1,-1.249748186,1,-0.795630251,1,-0.343701048,1,-0.715055286,1,0.0621234004,88
